,20_1,20_3,20_4,20_2,20_0
20_1,0.0,0.0,0.0,0.0,0.0
20_3,0.0,0.0,0.0,0.0,0.0
20_4,0.0,0.0,0.0,0.0,0.0
20_2,0.0,0.0,0.0,0.0,0.0
20_0,0.0,0.0,0.0,0.0,0.0
