,40_0,40_3,40_4,40_2,40_1
40_0,0.0,18.0,10.0,14.0,14.0
40_3,0.0,0.0,16.0,12.0,10.0
40_4,0.0,0.0,0.0,12.0,12.0
40_2,0.0,0.0,0.0,0.0,14.0
40_1,0.0,0.0,0.0,0.0,0.0
