,80_3,80_0,80_2,80_4,80_1
80_3,0.0,114.0,106.0,112.0,112.0
80_0,0.0,0.0,108.0,108.0,116.0
80_2,0.0,0.0,0.0,110.0,112.0
80_4,0.0,0.0,0.0,0.0,116.0
80_1,0.0,0.0,0.0,0.0,0.0
