,20_1,20_3,20_4,20_2,20_0
20_1,0.0,20.0,20.0,4.0,22.0
20_3,0.0,0.0,24.0,4.0,26.0
20_4,0.0,0.0,0.0,4.0,28.0
20_2,0.0,0.0,0.0,0.0,4.0
20_0,0.0,0.0,0.0,0.0,0.0
