,100_0,100_4,100_3,100_1,100_2
100_0,0.0,30.0,24.0,30.0,30.0
100_4,0.0,0.0,24.0,28.0,26.0
100_3,0.0,0.0,0.0,24.0,34.0
100_1,0.0,0.0,0.0,0.0,26.0
100_2,0.0,0.0,0.0,0.0,0.0
