,60_2,60_3,60_0,60_4,60_1
60_2,0.0,20.0,18.0,18.0,16.0
60_3,0.0,0.0,16.0,16.0,36.0
60_0,0.0,0.0,0.0,14.0,14.0
60_4,0.0,0.0,0.0,0.0,18.0
60_1,0.0,0.0,0.0,0.0,0.0
