,80_3,80_0,80_2,80_4,80_1
80_3,0.0,26.0,26.0,24.0,26.0
80_0,0.0,0.0,30.0,24.0,24.0
80_2,0.0,0.0,0.0,28.0,26.0
80_4,0.0,0.0,0.0,0.0,26.0
80_1,0.0,0.0,0.0,0.0,0.0
