,PKB4,PKB6,PKB7,PKB8,PKB9,PKB10,PKB11,PKB13,PKB14,PKB15,PKB16,PKB20,PKB22,PKB24,PKB32,PKB38,PKB42,PKB43,PKB44,PKB46,PKB48,PKB49,PKB50,PKB51,PKB52,PKB67,PKB68,PKB69,PKB70,PKB77,PKB79,PKB89,PKB90,PKB91,PKB98,PKB100,PKB101,PKB102,PKB103,PKB104,PKB105,PKB106,PKB119,PKB120,PKB128,PKB130,PKB135,PKB136,PKB137,PKB140,PKB142,PKB158,PKB159,PKB160,PKB161,PKB162,PKB171,PKB172,PKB177,PKB179,PKB180,PKB191,PKB206,PKB207,PKB218,PKB233,PKB236,PKB240,PKB241,PKB242,PKB247,PKB248
PKB4,0.6885245901639344,0.004299919376511691,0.004299919376511691,0.004299919376511691,0.004299919376511691,0.004568664337543671,0.00403117441547971,0.004568664337543671,0.004568664337543671,0.004299919376511691,0.00403117441547971,0.004299919376511691,0.004299919376511691,0.00403117441547971,0.004299919376511691,0.004837409298575652,0.005374899220639612,0.005106154259607632,0.005106154259607632,0.005106154259607632,0.003911111111111111,0.004837409298575652,0.0034516765285996054,0.0064498790647675355,0.003967466772465781,0.004299919376511691,0.0029065743944636678,0.004216562658121099,0.004243827160493828,0.003183391003460207,0.003635734072022161,0.00403117441547971,0.0034936844934157483,0.0034936844934157483,0.0035419126328217233,0.0037624294544477293,0.0037624294544477293,0.002418704649287826,0.002956194571351787,0.002956194571351787,0.0034936844934157483,0.004266666666666667,0.002687449610319806,0.00403117441547971,0.0040888888888888884,0.00403117441547971,0.0012486992715920915,0.0009363003651571423,0.0009894985476714864,0.00253592561284869,0.002489814395654142,0.0034936844934157483,0.00403117441547971,0.0037624294544477293,0.0034936844934157483,0.004837409298575652,0.0026527905315784106,0.002956194571351787,0.0030387105297925753,0.002548476454293629,0.0033029462280354076,0.0010820637119113574,0.004568664337543671,0.005643644181671593,0.0028982007003985027,0.00308641975308642,0.001015625,0.005643644181671593,0.004299919376511691,0.0037624294544477293,0.002956194571351787,0.002768166089965398
PKB6,0.004299919376511691,0.7647058823529411,0.00922722029988466,0.007689350249903883,0.014994232987312572,0.008073817762399077,0.009611687812379853,0.0130718954248366,0.008073817762399077,0.007689350249903883,0.00922722029988466,0.007689350249903883,0.0065359477124183,0.007689350249903883,0.00922722029988466,0.007689350249903883,0.0057670126874279125,0.006151480199923107,0.004998077662437523,0.0057670126874279125,0.003911111111111111,0.005382545174932718,0.0034516765285996054,0.005833333333333333,0.003372346756595913,0.004229142637447136,0.0033217993079584776,0.0033732501264968793,0.004436728395061728,0.0029065743944636678,0.0034626038781163434,0.006151480199923107,0.004229142637447136,0.005382545174932718,0.0037105751391465673,0.0065359477124183,0.004998077662437523,0.004229142637447136,0.004998077662437523,0.00461361014994233,0.0057670126874279125,0.0037333333333333337,0.004229142637447136,0.005382545174932718,0.0037333333333333337,0.0065359477124183,0.0009989594172736733,0.0007178302799538092,0.0008299020077244725,0.0022944088878154812,0.0021502942507922135,0.00461361014994233,0.004998077662437523,0.004998077662437523,0.004229142637447136,0.0057670126874279125,0.0025507601265177026,0.0038446751249519417,0.0031708283789139914,0.002437673130193906,0.0030387105297925753,0.0010820637119113574,0.005420918367346939,0.0043090181594336715,0.0022944088878154812,0.002345679012345679,0.0008984374999999999,0.006151480199923107,0.0057670126874279125,0.0065359477124183,0.00461361014994233,0.003044982698961938
PKB7,0.004299919376511691,0.00922722029988466,0.8823529411764706,0.008842752787389465,0.00922722029988466,0.007304882737408689,0.008842752787389465,0.011534025374855825,0.008458285274894272,0.009611687812379853,0.009996155324875047,0.007304882737408689,0.007304882737408689,0.007689350249903883,0.00922722029988466,0.00922722029988466,0.0057670126874279125,0.006151480199923107,0.005382545174932718,0.0057670126874279125,0.003911111111111111,0.005382545174932718,0.002958579881656805,0.005277777777777778,0.0037690934338424913,0.005382545174932718,0.002768166089965398,0.0037105751391465673,0.003858024691358025,0.0026297577854671283,0.003635734072022161,0.00461361014994233,0.004229142637447136,0.0057670126874279125,0.0037105751391465673,0.005382545174932718,0.00461361014994233,0.0034602076124567475,0.004229142637447136,0.00461361014994233,0.004998077662437523,0.003377777777777778,0.005382545174932718,0.00461361014994233,0.003377777777777778,0.007304882737408689,0.0010822060353798128,0.0007490402921257139,0.0007660633917456669,0.0022944088878154812,0.0022634676324128564,0.004229142637447136,0.004998077662437523,0.004229142637447136,0.004998077662437523,0.005382545174932718,0.002448729721456994,0.004229142637447136,0.0030387105297925753,0.002659279778393352,0.0027744748315497426,0.0010820637119113574,0.0047831632653061226,0.0043090181594336715,0.0024151672503320855,0.0024691358024691358,0.0008593750000000001,0.0057670126874279125,0.004998077662437523,0.0057670126874279125,0.004998077662437523,0.002768166089965398
PKB8,0.004299919376511691,0.007689350249903883,0.008842752787389465,0.7551020408163265,0.007689350249903883,0.010828821324448148,0.007304882737408689,0.007689350249903883,0.010412328196584757,0.0116,0.007304882737408689,0.007913369429404415,0.008329862557267805,0.008329862557267805,0.008746355685131196,0.008329862557267805,0.0066638900458142435,0.007080383173677634,0.006247396917950854,0.0066638900458142435,0.0035555555555555553,0.0058309037900874635,0.002958579881656805,0.005277777777777778,0.0037690934338424913,0.004581424406497293,0.0029065743944636678,0.0032045876201720357,0.003858024691358025,0.0026297577854671283,0.003116343490304709,0.005414410662224074,0.004997917534360683,0.007080383173677634,0.0032045876201720357,0.0066638900458142435,0.005414410662224074,0.004581424406497293,0.004997917534360683,0.004581424406497293,0.005414410662224074,0.0031999999999999997,0.005414410662224074,0.004997917534360683,0.0037333333333333337,0.007080383173677634,0.0009989594172736733,0.0007490402921257139,0.0007979826997350697,0.0024151672503320855,0.0023766410140334993,0.005414410662224074,0.005414410662224074,0.004581424406497293,0.004581424406497293,0.004997917534360683,0.0022446689113355778,0.004229142637447136,0.0030387105297925753,0.002548476454293629,0.00251023913330691,0.0009954986149584488,0.0047831632653061226,0.00523237919359803,0.0024151672503320855,0.0025925925925925925,0.0008984374999999999,0.006247396917950854,0.0058309037900874635,0.0066638900458142435,0.004997917534360683,0.0026297577854671283
PKB9,0.004299919376511691,0.014994232987312572,0.00922722029988466,0.007689350249903883,0.7647058823529411,0.008073817762399077,0.009611687812379853,0.0130718954248366,0.008073817762399077,0.007689350249903883,0.00922722029988466,0.007689350249903883,0.0065359477124183,0.007689350249903883,0.00922722029988466,0.007689350249903883,0.0057670126874279125,0.006151480199923107,0.004998077662437523,0.0057670126874279125,0.003911111111111111,0.005382545174932718,0.0034516765285996054,0.005833333333333333,0.003372346756595913,0.004229142637447136,0.0033217993079584776,0.0033732501264968793,0.004436728395061728,0.0029065743944636678,0.0034626038781163434,0.006151480199923107,0.004229142637447136,0.005382545174932718,0.0037105751391465673,0.0065359477124183,0.004998077662437523,0.004229142637447136,0.004998077662437523,0.00461361014994233,0.0057670126874279125,0.0037333333333333337,0.004229142637447136,0.005382545174932718,0.0037333333333333337,0.0065359477124183,0.0009989594172736733,0.0007178302799538092,0.0008299020077244725,0.0022944088878154812,0.0021502942507922135,0.00461361014994233,0.004998077662437523,0.004998077662437523,0.004229142637447136,0.0057670126874279125,0.0025507601265177026,0.0038446751249519417,0.0031708283789139914,0.002437673130193906,0.0030387105297925753,0.0010820637119113574,0.005420918367346939,0.0043090181594336715,0.0022944088878154812,0.002345679012345679,0.0008984374999999999,0.006151480199923107,0.0057670126874279125,0.0065359477124183,0.00461361014994233,0.003044982698961938
PKB10,0.004568664337543671,0.008073817762399077,0.007304882737408689,0.010828821324448148,0.008073817762399077,0.7959183673469388,0.007689350249903883,0.007689350249903883,0.006247396917950854,0.0076,0.008073817762399077,0.007496876301541025,0.008329862557267805,0.008746355685131196,0.008746355685131196,0.008329862557267805,0.007080383173677634,0.0066638900458142435,0.005414410662224074,0.0058309037900874635,0.0037333333333333337,0.0058309037900874635,0.0031229454306377384,0.005555555555555555,0.00416584011108907,0.004997917534360683,0.002768166089965398,0.0030359251138471917,0.004050925925925927,0.002768166089965398,0.0034626038781163434,0.0058309037900874635,0.004164931278633903,0.0066638900458142435,0.0035419126328217233,0.0058309037900874635,0.006247396917950854,0.004164931278633903,0.0058309037900874635,0.004997917534360683,0.006247396917950854,0.0037333333333333337,0.004581424406497293,0.006247396917950854,0.0031999999999999997,0.008746355685131196,0.0010405827263267429,0.0007490402921257139,0.0008299020077244725,0.002656683975365294,0.0023766410140334993,0.004997917534360683,0.005414410662224074,0.005414410662224074,0.004164931278633903,0.0058309037900874635,0.0025507601265177026,0.00461361014994233,0.002906592680671159,0.002548476454293629,0.002906592680671159,0.0009954986149584488,0.004145408163265306,0.0046168051708217915,0.00253592561284869,0.0027160493827160493,0.0008984374999999999,0.005414410662224074,0.006247396917950854,0.0066638900458142435,0.005414410662224074,0.0026297577854671283
PKB11,0.00403117441547971,0.009611687812379853,0.008842752787389465,0.007304882737408689,0.009611687812379853,0.007689350249903883,0.7647058823529411,0.009996155324875047,0.006920415224913495,0.006151480199923107,0.012302960399846213,0.0065359477124183,0.006151480199923107,0.0057670126874279125,0.007689350249903883,0.0065359477124183,0.0057670126874279125,0.005382545174932718,0.00461361014994233,0.004998077662437523,0.003377777777777778,0.006151480199923107,0.0034516765285996054,0.005,0.0035707200952192026,0.0057670126874279125,0.0026297577854671283,0.0032045876201720357,0.003858024691358025,0.002491349480968858,0.003289473684210526,0.005382545174932718,0.0034602076124567475,0.005382545174932718,0.0035419126328217233,0.0057670126874279125,0.00461361014994233,0.0034602076124567475,0.004998077662437523,0.004998077662437523,0.004998077662437523,0.0035555555555555553,0.004998077662437523,0.00461361014994233,0.0031999999999999997,0.007304882737408689,0.0010405827263267429,0.0007490402921257139,0.0007341440837562641,0.0022944088878154812,0.0022634676324128564,0.00461361014994233,0.00461361014994233,0.005382545174932718,0.004229142637447136,0.005382545174932718,0.0021426385062748698,0.00461361014994233,0.0027744748315497426,0.002659279778393352,0.002906592680671159,0.0009089335180055403,0.004145408163265306,0.0043090181594336715,0.0022944088878154812,0.0024691358024691358,0.0009765625,0.005382545174932718,0.006920415224913495,0.0057670126874279125,0.004229142637447136,0.002491349480968858
PKB13,0.004568664337543671,0.0130718954248366,0.011534025374855825,0.007689350249903883,0.0130718954248366,0.007689350249903883,0.009996155324875047,0.8431372549019608,0.008458285274894272,0.008073817762399077,0.008458285274894272,0.007304882737408689,0.006151480199923107,0.007304882737408689,0.008073817762399077,0.006920415224913495,0.005382545174932718,0.005382545174932718,0.004998077662437523,0.005382545174932718,0.003911111111111111,0.004998077662437523,0.002958579881656805,0.0061111111111111106,0.003372346756595913,0.004998077662437523,0.003044982698961938,0.0037105751391465673,0.004050925925925927,0.002768166089965398,0.0034626038781163434,0.006151480199923107,0.0038446751249519417,0.005382545174932718,0.0035419126328217233,0.0057670126874279125,0.004998077662437523,0.00461361014994233,0.00461361014994233,0.004998077662437523,0.006151480199923107,0.0037333333333333337,0.00461361014994233,0.005382545174932718,0.0035555555555555553,0.0065359477124183,0.0009989594172736733,0.0006866202677819044,0.0007660633917456669,0.0022944088878154812,0.0023766410140334993,0.004998077662437523,0.004998077662437523,0.00461361014994233,0.00461361014994233,0.006151480199923107,0.0026527905315784106,0.00461361014994233,0.0030387105297925753,0.002437673130193906,0.0030387105297925753,0.0010387811634349029,0.0047831632653061226,0.0046168051708217915,0.0022944088878154812,0.002345679012345679,0.0009375,0.006151480199923107,0.006920415224913495,0.006920415224913495,0.004229142637447136,0.002768166089965398
PKB14,0.004568664337543671,0.008073817762399077,0.008458285274894272,0.010412328196584757,0.008073817762399077,0.006247396917950854,0.006920415224913495,0.008458285274894272,0.6530612244897959,0.011200000000000002,0.006920415224913495,0.007080383173677634,0.007080383173677634,0.008746355685131196,0.009579341940857976,0.007496876301541025,0.0058309037900874635,0.0066638900458142435,0.0058309037900874635,0.006247396917950854,0.003022222222222222,0.0058309037900874635,0.002958579881656805,0.005,0.003372346756595913,0.004164931278633903,0.003044982698961938,0.0032045876201720357,0.0036651234567901237,0.002214532871972318,0.003116343490304709,0.006247396917950854,0.004581424406497293,0.006247396917950854,0.0033732501264968793,0.005414410662224074,0.004997917534360683,0.004581424406497293,0.004164931278633903,0.004581424406497293,0.006247396917950854,0.0035555555555555553,0.004581424406497293,0.004581424406497293,0.0037333333333333337,0.007080383173677634,0.0009573361082206035,0.0008114603164695235,0.0007341440837562641,0.0020528921627822726,0.0022634676324128564,0.005414410662224074,0.0058309037900874635,0.004997917534360683,0.004164931278633903,0.004581424406497293,0.002346699316396286,0.0030757400999615533,0.0031708283789139914,0.002548476454293629,0.00251023913330691,0.0009089335180055403,0.0047831632653061226,0.0046168051708217915,0.0022944088878154812,0.0024691358024691358,0.0008203125000000001,0.0066638900458142435,0.005414410662224074,0.0058309037900874635,0.004581424406497293,0.0023529411764705885
PKB15,0.004299919376511691,0.007689350249903883,0.009611687812379853,0.0116,0.007689350249903883,0.0076,0.006151480199923107,0.008073817762399077,0.011200000000000002,0.7,0.006151480199923107,0.0064,0.0076,0.0076,0.0088,0.0076,0.006,0.0064,0.006,0.005600000000000001,0.0031999999999999997,0.006,0.0027942143326758714,0.004722222222222222,0.0035707200952192026,0.004,0.0029065743944636678,0.0032045876201720357,0.003472222222222222,0.0020761245674740486,0.0034626038781163434,0.0044,0.0044,0.006,0.0033732501264968793,0.0048,0.0044,0.0036,0.0044,0.0036,0.005600000000000001,0.0031999999999999997,0.0048,0.004,0.003377777777777778,0.005600000000000001,0.0009989594172736733,0.0006866202677819044,0.0007660633917456669,0.002173650525298877,0.0023766410140334993,0.0052,0.0048,0.0036,0.004,0.0044,0.0022446689113355778,0.0030757400999615533,0.0031708283789139914,0.002659279778393352,0.002642356982428326,0.0009954986149584488,0.004464285714285714,0.00523237919359803,0.00253592561284869,0.0027160493827160493,0.00078125,0.0068000000000000005,0.004,0.006,0.0048,0.002214532871972318
