,PKB4,PKB6,PKB7,PKB8,PKB9,PKB10,PKB11,PKB13,PKB14,PKB15,PKB16,PKB20,PKB22,PKB24,PKB32,PKB38,PKB42,PKB43,PKB44,PKB46,PKB48,PKB49,PKB50,PKB51,PKB52,PKB67,PKB68,PKB69,PKB70,PKB77,PKB79,PKB89,PKB90,PKB91,PKB98,PKB100,PKB101,PKB102,PKB103,PKB104,PKB105,PKB106,PKB119,PKB120,PKB128,PKB130,PKB135,PKB136,PKB137,PKB140,PKB142,PKB158,PKB159,PKB160,PKB161,PKB162,PKB171,PKB172,PKB177,PKB179,PKB180,PKB191,PKB206,PKB207,PKB218,PKB233,PKB236,PKB240,PKB241,PKB242,PKB247,PKB248
PKB4,0.0,0.9924751410911046,0.9935501209352324,0.9935501209352324,0.9924751410911046,0.9938188658962644,0.9935501209352324,0.9927438860521365,0.9930126310131685,0.9932813759742005,0.9930126310131685,0.9940876108572965,0.9935501209352324,0.9935501209352324,0.9932813759742005,0.9938188658962644,0.9922063961300726,0.9924751410911046,0.9916689062080086,0.9916689062080086,0.9934222222222222,0.9924751410911046,0.9942472057856673,0.9905939263638807,0.9936520531640548,0.9935501209352324,0.9952941176470588,0.9939281497723056,0.9934413580246914,0.9950173010380623,0.9935941828254847,0.9943563558183284,0.9948938457403924,0.9948938457403924,0.9940968122786304,0.9940876108572965,0.9948938457403924,0.9951625907014243,0.9957000806234884,0.9954313356624563,0.9943563558183284,0.9932444444444445,0.9962375705455523,0.9948938457403924,0.9932444444444445,0.9938188658962644,0.9982934443288242,0.99868917948878,0.9987232276804239,0.996014974036952,0.9960389316432775,0.9943563558183284,0.9946251007793604,0.9948938457403924,0.9957000806234884,0.9938188658962644,0.9960208142026323,0.9954313356624563,0.9949795217333862,0.9959002770083103,0.9953758752807504,0.9983119806094183,0.9919376511690405,0.9914001612469766,0.9951696654993358,0.9953086419753087,0.998515625,0.9919376511690405,0.9940876108572965,0.9935501209352324,0.9951625907014243,0.9954325259515571
PKB6,0.9924751410911046,0.0,0.9857747020376778,0.9873125720876585,0.9803921568627451,0.9896193771626297,0.9865436370626682,0.9830834294502114,0.9865436370626682,0.9869281045751634,0.9853902345251826,0.9900038446751249,0.9900038446751249,0.9900038446751249,0.9873125720876585,0.9892349096501346,0.9915417147251058,0.9915417147251058,0.9926951172625913,0.9923106497500961,0.9944888888888889,0.9923106497500961,0.9947403024326101,0.9919444444444444,0.9948422931957945,0.9926951172625913,0.9955709342560554,0.9949401248102547,0.9942129629629629,0.9959861591695501,0.9946329639889196,0.9915417147251058,0.9930795847750865,0.9923106497500961,0.9944341372912802,0.9919261822376009,0.9926951172625913,0.9934640522875817,0.9930795847750865,0.9934640522875817,0.9915417147251058,0.9950222222222223,0.9934640522875817,0.9926951172625913,0.9946666666666667,0.9896193771626297,0.9985431841831426,0.9989076495739834,0.9988509049123815,0.9966187658495351,0.9967179719330014,0.9934640522875817,0.9930795847750865,0.9938485198000769,0.9938485198000769,0.9919261822376009,0.9966329966329966,0.9946174548250672,0.9957722288281147,0.9964542936288089,0.9956401109789933,0.9984851108033241,0.9926658163265306,0.9919975377039089,0.9961357323994686,0.9965432098765432,0.99875,0.9915417147251058,0.9923106497500961,0.9915417147251058,0.9934640522875817,0.9954325259515571
PKB7,0.9935501209352324,0.9857747020376778,0.0,0.9884659746251442,0.9857747020376778,0.9876970396001538,0.9853902345251826,0.9850057670126874,0.9884659746251442,0.9873125720876585,0.9857747020376778,0.9892349096501346,0.9892349096501346,0.988081507112649,0.9888504421376394,0.988081507112649,0.9907727797001153,0.9907727797001153,0.9915417147251058,0.9915417147251058,0.9944888888888889,0.9919261822376009,0.994904667981591,0.9925,0.9944455465185479,0.9934640522875817,0.9955709342560554,0.9947714623039299,0.9944058641975309,0.9959861591695501,0.9944598337950139,0.9923106497500961,0.9930795847750865,0.9919261822376009,0.9944341372912802,0.9919261822376009,0.9926951172625913,0.9946174548250672,0.9930795847750865,0.9938485198000769,0.9923106497500961,0.9946666666666667,0.9930795847750865,0.9930795847750865,0.9948444444444444,0.9896193771626297,0.9985431841831426,0.9989388595861552,0.9988509049123815,0.9964980074870184,0.9966047985513807,0.994232987312572,0.9930795847750865,0.994232987312572,0.9938485198000769,0.9926951172625913,0.9966329966329966,0.9946174548250672,0.995243757431629,0.9964542936288089,0.995904346677236,0.9985283933518005,0.9923469387755102,0.9919975377039089,0.9962564907619853,0.9961728395061729,0.9987109375,0.9907727797001153,0.9930795847750865,0.9919261822376009,0.9934640522875817,0.9959861591695501
PKB8,0.9935501209352324,0.9873125720876585,0.9884659746251442,0.0,0.9873125720876585,0.9845897542690546,0.988081507112649,0.9884659746251442,0.9854227405247813,0.9836,0.9876970396001538,0.9887546855476884,0.9879216992919617,0.9883381924198251,0.9862557267805081,0.9875052061640983,0.9891711786755518,0.9891711786755518,0.9912536443148688,0.9900041649312786,0.9946666666666667,0.9916701374427322,0.9952333990795529,0.9925,0.9946439198571712,0.9929196168263223,0.9957093425605537,0.9952774498229043,0.9944058641975309,0.9962629757785467,0.9946329639889196,0.9920866305705955,0.9925031236984589,0.9916701374427322,0.9951087873165795,0.9908371511870054,0.9920866305705955,0.9933361099541858,0.9925031236984589,0.9929196168263223,0.9920866305705955,0.9952,0.9929196168263223,0.9920866305705955,0.9952,0.9895876718034152,0.9986264308012487,0.9989700695983271,0.9989147435283603,0.9963772491245019,0.9967179719330014,0.9925031236984589,0.9920866305705955,0.9929196168263223,0.9929196168263223,0.9912536443148688,0.996837057443118,0.9934640522875817,0.995904346677236,0.9964542936288089,0.9960364645263575,0.998571675900277,0.9929846938775511,0.992305324715297,0.9964980074870184,0.9964197530864197,0.998828125,0.990420658059142,0.9920866305705955,0.9900041649312786,0.9925031236984589,0.9961245674740484
PKB9,0.9924751410911046,0.9803921568627451,0.9857747020376778,0.9873125720876585,0.0,0.9896193771626297,0.9865436370626682,0.9830834294502114,0.9865436370626682,0.9869281045751634,0.9853902345251826,0.9900038446751249,0.9900038446751249,0.9900038446751249,0.9873125720876585,0.9892349096501346,0.9915417147251058,0.9915417147251058,0.9926951172625913,0.9923106497500961,0.9944888888888889,0.9923106497500961,0.9947403024326101,0.9919444444444444,0.9948422931957945,0.9926951172625913,0.9955709342560554,0.9949401248102547,0.9942129629629629,0.9959861591695501,0.9946329639889196,0.9915417147251058,0.9930795847750865,0.9923106497500961,0.9944341372912802,0.9919261822376009,0.9926951172625913,0.9934640522875817,0.9930795847750865,0.9934640522875817,0.9915417147251058,0.9950222222222223,0.9934640522875817,0.9926951172625913,0.9946666666666667,0.9896193771626297,0.9985431841831426,0.9989076495739834,0.9988509049123815,0.9966187658495351,0.9967179719330014,0.9934640522875817,0.9930795847750865,0.9938485198000769,0.9938485198000769,0.9919261822376009,0.9966329966329966,0.9946174548250672,0.9957722288281147,0.9964542936288089,0.9956401109789933,0.9984851108033241,0.9926658163265306,0.9919975377039089,0.9961357323994686,0.9965432098765432,0.99875,0.9915417147251058,0.9923106497500961,0.9915417147251058,0.9934640522875817,0.9954325259515571
PKB10,0.9938188658962644,0.9896193771626297,0.9876970396001538,0.9845897542690546,0.9896193771626297,0.0,0.9892349096501346,0.9892349096501346,0.9883381924198251,0.9876,0.9884659746251442,0.9879216992919617,0.9879216992919617,0.9875052061640983,0.9866722199083715,0.9866722199083715,0.990420658059142,0.9900041649312786,0.9916701374427322,0.9912536443148688,0.9948444444444444,0.9920866305705955,0.995069033530572,0.9930555555555556,0.9950406665344178,0.9925031236984589,0.9959861591695501,0.9954461123292292,0.9944058641975309,0.9961245674740484,0.9948060941828255,0.9908371511870054,0.9929196168263223,0.9908371511870054,0.9952774498229043,0.990420658059142,0.9916701374427322,0.9933361099541858,0.9933361099541858,0.9929196168263223,0.9908371511870054,0.9950222222222223,0.9933361099541858,0.9920866305705955,0.9948444444444444,0.9887546855476884,0.9985848074921956,0.9989388595861552,0.9988828242203709,0.9963772491245019,0.996831145314622,0.9920866305705955,0.9925031236984589,0.9933361099541858,0.9933361099541858,0.9916701374427322,0.9967350270380574,0.9926951172625913,0.9961685823754789,0.9963434903047091,0.995904346677236,0.9986582409972299,0.9936224489795918,0.9929208987380732,0.9963772491245019,0.9961728395061729,0.99875,0.9908371511870054,0.9920866305705955,0.9895876718034152,0.9929196168263223,0.9961245674740484
PKB11,0.9935501209352324,0.9865436370626682,0.9853902345251826,0.988081507112649,0.9865436370626682,0.9892349096501346,0.0,0.9853902345251826,0.9888504421376394,0.988081507112649,0.9834678969627066,0.9911572472126106,0.9903883121876201,0.9903883121876201,0.9884659746251442,0.9892349096501346,0.9915417147251058,0.9915417147251058,0.9919261822376009,0.9923106497500961,0.9948444444444444,0.9926951172625913,0.9947403024326101,0.9925,0.9946439198571712,0.9919261822376009,0.9954325259515571,0.9951087873165795,0.9942129629629629,0.9961245674740484,0.9946329639889196,0.9919261822376009,0.9930795847750865,0.9919261822376009,0.994602799797605,0.9911572472126106,0.9930795847750865,0.9934640522875817,0.9930795847750865,0.9930795847750865,0.9923106497500961,0.9946666666666667,0.9926951172625913,0.9923106497500961,0.9946666666666667,0.9896193771626297,0.9985848074921956,0.9989076495739834,0.9988509049123815,0.9964980074870184,0.9966047985513807,0.9938485198000769,0.9934640522875817,0.9930795847750865,0.9934640522875817,0.9915417147251058,0.9966329966329966,0.994232987312572,0.9957722288281147,0.9964542936288089,0.9960364645263575,0.9985283933518005,0.9933035714285714,0.9926131117266851,0.9963772491245019,0.9964197530864197,0.9987109375,0.9907727797001153,0.9919261822376009,0.9923106497500961,0.994232987312572,0.9959861591695501
PKB13,0.9927438860521365,0.9830834294502114,0.9850057670126874,0.9884659746251442,0.9830834294502114,0.9892349096501346,0.9853902345251826,0.0,0.986159169550173,0.9869281045751634,0.9857747020376778,0.9903883121876201,0.9896193771626297,0.9896193771626297,0.9888504421376394,0.9888504421376394,0.9919261822376009,0.9919261822376009,0.9926951172625913,0.9926951172625913,0.9944888888888889,0.9923106497500961,0.994904667981591,0.9919444444444444,0.9944455465185479,0.9919261822376009,0.9954325259515571,0.994602799797605,0.9940200617283951,0.995847750865052,0.994286703601108,0.9907727797001153,0.9934640522875817,0.9919261822376009,0.9944341372912802,0.9915417147251058,0.9926951172625913,0.9926951172625913,0.9930795847750865,0.9930795847750865,0.9911572472126106,0.9950222222222223,0.9930795847750865,0.9923106497500961,0.9944888888888889,0.9903883121876201,0.9985431841831426,0.9988764395618114,0.9988189856043921,0.9963772491245019,0.9966047985513807,0.9938485198000769,0.9930795847750865,0.9934640522875817,0.9930795847750865,0.9915417147251058,0.9966329966329966,0.994232987312572,0.9957722288281147,0.9963434903047091,0.9956401109789933,0.9984851108033241,0.9926658163265306,0.9919975377039089,0.9962564907619853,0.9966666666666667,0.9987109375,0.9911572472126106,0.9915417147251058,0.9915417147251058,0.9934640522875817,0.9957093425605537
PKB14,0.9930126310131685,0.9865436370626682,0.9884659746251442,0.9854227405247813,0.9865436370626682,0.9883381924198251,0.9888504421376394,0.986159169550173,0.0,0.9832,0.9884659746251442,0.9895876718034152,0.9887546855476884,0.9891711786755518,0.9862557267805081,0.9883381924198251,0.9908371511870054,0.9908371511870054,0.9920866305705955,0.9916701374427322,0.9946666666666667,0.9916701374427322,0.995069033530572,0.9925,0.9950406665344178,0.9925031236984589,0.995847750865052,0.9951087873165795,0.9947916666666666,0.9962629757785467,0.9948060941828255,0.9916701374427322,0.9925031236984589,0.9916701374427322,0.9947714623039299,0.9916701374427322,0.9925031236984589,0.9941690962099126,0.9920866305705955,0.9937526030820492,0.9916701374427322,0.9952,0.9933361099541858,0.9925031236984589,0.9950222222222223,0.990420658059142,0.9986264308012487,0.9989388595861552,0.9989147435283603,0.9967395242120517,0.996831145314622,0.9933361099541858,0.9920866305705955,0.9937526030820492,0.9933361099541858,0.9920866305705955,0.9967350270380574,0.9950019223375625,0.9956401109789933,0.9965650969529086,0.995904346677236,0.998571675900277,0.9933035714285714,0.992305324715297,0.9961357323994686,0.9964197530864197,0.9988671875,0.990420658059142,0.9920866305705955,0.9908371511870054,0.9916701374427322,0.9961245674740484
PKB15,0.9932813759742005,0.9869281045751634,0.9873125720876585,0.9836,0.9869281045751634,0.9876,0.988081507112649,0.9869281045751634,0.9832,0.0,0.9876970396001538,0.9892,0.9888,0.9892,0.9876,0.9892,0.99,0.99,0.9916,0.9904,0.9946666666666667,0.992,0.9952333990795529,0.9925,0.9948422931957945,0.994,0.995847750865052,0.9952774498229043,0.9945987654320988,0.996401384083045,0.9946329639889196,0.9928,0.9932,0.992,0.994602799797605,0.992,0.9928,0.9944,0.9936,0.994,0.9924,0.9952,0.994,0.994,0.9952,0.9912,0.9986264308012487,0.9989700695983271,0.9989147435283603,0.9966187658495351,0.9967179719330014,0.994,0.9924,0.9944,0.9944,0.9928,0.9967350270380574,0.9950019223375625,0.9953758752807504,0.9962326869806094,0.9960364645263575,0.9986149584487535,0.9929846938775511,0.992305324715297,0.9963772491245019,0.9962962962962963,0.998828125,0.99,0.9932,0.9916,0.992,0.9962629757785467
